BREED_NAME	Description	Group	Size	URL	img
Affenpinscher	"Loyal, curious, famously funny; fearless out of all proportion to their size."	Toy Group	s	http://www.akc.org/dog-breeds/affenpinscher	http://cdn.akc.org/akcdoglovers/affenpischer094_thumb_2.jpg
Afghan Hound	"A breed of charming contradictions: independent and aloof, but sweet and profoundly loyal."	Hound Group	l	http://www.akc.org/dog-breeds/afghan-hound	http://cdn.akc.org/akcdoglovers/afghanThumb.jpg
Airedale Terrier	"Clever, confident, proud; friendly but courageous."	Terrier Group		http://www.akc.org/dog-breeds/airedale-terrier	
Akita	"Dignified, courageous, and profoundly loyal.
"	Working Group		http://www.akc.org/dog-breeds/akita	
Alaskan Malamute	"Affectionate, loyal, playful but dignified."	Working Group		http://www.akc.org/dog-breeds/alaskan-malamute	
American English Coonhound	"Sweet, Melow, Sociable"	Hound Group		http://www.akc.org/dog-breeds/american-english-coonhound	
American Eskimo Dog	"Playful, perky, very smart; an excellent trick dog."	Non-Sporting Group		http://www.akc.org/dog-breeds/american-eskimo-dog	
American Foxhound	"Sweet-tempered and easygoing, but also stubborn and independent"	Hound Group		http://www.akc.org/dog-breeds/american-foxhound	
American Hairless Terrier	"Friendly, lovable, inquisitive; fearlessly game for just about anything."	Terrier Group		http://www.akc.org/dog-breeds/american-hairless-terrier	
American Leopard Hound	"Sweet, Mellow, Sociable"	Foundation Stock Service		http://www.akc.org/dog-breeds/american-leopard-hound	
American Staffordshire Terrier	"Smart, confident, good-natured companions."	Terrier Group		http://www.akc.org/dog-breeds/american-staffordshire-terrier	
American Water Spaniel	"Happy, eager, and charming; aloof with strangers, and a little stubborn."	Sporting Group		http://www.akc.org/dog-breeds/american-water-spaniel	
Anatolian Shepherd Dog	"Calm, watchful, loyal, and smart; protective and territorial."	Working Group		http://www.akc.org/dog-breeds/anatolian-shepherd-dog	
Appenzeller Sennenhunde		Foundation Stock Service		http://www.akc.org/dog-breeds/appenzeller-sennenhunde	
Australian Cattle Dog		Herding Group		http://www.akc.org/dog-breeds/australian-cattle-dog	
Australian Shepherd		Herding Group		http://www.akc.org/dog-breeds/australian-shepherd	
Australian Terrier		Terrier Group		http://www.akc.org/dog-breeds/australian-terrier	
Azawakh		Foundation Stock Service		http://www.akc.org/dog-breeds/azawakh	
Barbet		Foundation Stock Service		http://www.akc.org/dog-breeds/barbet	
Basenji		Hound Group		http://www.akc.org/dog-breeds/basenji	
Basset Fauve de Bretagne		Foundation Stock Service		http://www.akc.org/dog-breeds/basset-fauve-de-bretagne	
Basset Hound		Hound Group		http://www.akc.org/dog-breeds/basset-hound	
Beagle		Hound Group		http://www.akc.org/dog-breeds/beagle	
Bearded Collie		Herding Group		http://www.akc.org/dog-breeds/bearded-collie	
Beauceron		Herding Group		http://www.akc.org/dog-breeds/beauceron	
Bedlington Terrier		Terrier Group		http://www.akc.org/dog-breeds/bedlington-terrier	
Belgian Laekenois		Foundation Stock Service		http://www.akc.org/dog-breeds/belgian-laekenois	
Belgian Malinois		Herding Group		http://www.akc.org/dog-breeds/belgian-malinois	
Belgian Sheepdog		Herding Group		http://www.akc.org/dog-breeds/belgian-sheepdog	
Belgian Tervuren		Herding Group		http://www.akc.org/dog-breeds/belgian-tervuren	
Bergamasco		Herding Group		http://www.akc.org/dog-breeds/bergamasco	
Berger Picard		Herding Group		http://www.akc.org/dog-breeds/berger-picard	
Bernese Mountain Dog	Good-natured and calm.	Working Group	l	http://www.akc.org/dog-breeds/bernese-mountain-dog	http://cdn.akc.org/akcdoglovers/berneseMountainDogThumb.jpg
Bichon Frise		Non-Sporting Group		http://www.akc.org/dog-breeds/bichon-frise	
Biewer Terrier		Foundation Stock Service		http://www.akc.org/dog-breeds/biewer-terrier	
Black and Tan Coonhound		Hound Group		http://www.akc.org/dog-breeds/black-and-tan-coonhound	
Black Russian Terrier	"Smart, confident, courageous; protective of loved ones, aloof with strangers."	Working Group	l	http://www.akc.org/dog-breeds/black-russian-terrier	http://cdn.akc.org/akcdoglovers/Black-Russian-Terrier_163X140.jpg
Bloodhound		Hound Group		http://www.akc.org/dog-breeds/bloodhound	
Bluetick Coonhound		Hound Group		http://www.akc.org/dog-breeds/bluetick-coonhound	
Boerboel		Working Group		http://www.akc.org/dog-breeds/boerboel	
Bolognese		Foundation Stock Service		http://www.akc.org/dog-breeds/bolognese	
Border Collie		Herding Group		http://www.akc.org/dog-breeds/border-collie	
Border Terrier		Terrier Group		http://www.akc.org/dog-breeds/border-terrier	
Borzoi		Hound Group		http://www.akc.org/dog-breeds/borzoi	
Boston Terrier		Non-Sporting Group		http://www.akc.org/dog-breeds/boston-terrier	
Bouvier des Flandres		Herding Group		http://www.akc.org/dog-breeds/bouvier-des-flandres	
Boxer		Working Group		http://www.akc.org/dog-breeds/boxer	
Boykin Spaniel		Sporting Group		http://www.akc.org/dog-breeds/boykin-spaniel	
Bracco Italiano		Foundation Stock Service		http://www.akc.org/dog-breeds/bracco-italiano	
Braque du Bourbonnais		Foundation Stock Service		http://www.akc.org/dog-breeds/braque-du-bourbonnais	
Braque Francais Pyrenean		Foundation Stock Service		http://www.akc.org/dog-breeds/braque-francais-pyrenean	
